"semanticResourceURN";"Code List";"Code Value";"codeName";"Definition";"resourceSubTypeCode";"Domain";"ExternalLink";"changeLog";"Status";"Version"
"urn:gs1:gdd:cl:AwardPrizeTypeCode:05";"AwardPrizeTypeCode";"05";"Long-listed ";"Nominated by the judging process to be one of the preliminary 'long-list' from which first a short-list and
then the winner is selected";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:AwardPrizeTypeCode:06";"AwardPrizeTypeCode";"06";"Joint winner";"Co-winner";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode";"BarCodeTypeCode";;;"Code list developed and managed by GS1.";"CODELIST";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:EAN_13";"BarCodeTypeCode";"EAN_13";"EAN 13";"A bar code of the EAN/UPC Symbology that encodes GTIN-13, Coupon-13, RCN-13, and VMN-13.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:EAN_13_COMPOSITE";"BarCodeTypeCode";"EAN_13_COMPOSITE";"EAN 13 Composite";"An EAN-13 symbol with an additional CC-A or CC-B Composite symbol included at the top of the EAN-13 symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:EAN_13_WITH_FIVE_DIGIT_ADD_ON";"BarCodeTypeCode";"EAN_13_WITH_FIVE_DIGIT_ADD_ON";"EAN 13 With Five Digit Add On";"An EAN-13 with an additional five-digit symbol, called an Add-On Symbol that can be included on the item just to the right of the main bar code.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:EAN_13_WITH_TWO_DIGIT_ADD_ON";"BarCodeTypeCode";"EAN_13_WITH_TWO_DIGIT_ADD_ON";"EAN 13 With Two Digit Add On";"An EAN-13 with an additional two-digit symbol, called an Add-On Symbol that can be included on the item just to the right of the main bar code.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:EAN_8";"BarCodeTypeCode";"EAN_8";"EAN 8";"A bar code of the EAN/UPC Symbology that encodes GTIN-8 or RCN-8.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:EAN_8_COMPOSITE";"BarCodeTypeCode";"EAN_8_COMPOSITE";"EAN 8 Composite";"An EAN-8 symbol with an additional CC-A or CC-B symbol included at the top of the EAN-8 symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_128";"BarCodeTypeCode";"GS1_128";"GS1 128";"A subset of Code 128 that is utilised exclusively for GS1 System data structures.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_128_COMPOSITE";"BarCodeTypeCode";"GS1_128_COMPOSITE";"GS1 128 Composite";"A GS1-128 symbol with an additional CC-A, CC-B or CC-C Composite symbol included at the top of the GS1-128 symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATA_MATRIX";"BarCodeTypeCode";"GS1_DATA_MATRIX";"GS1 Data Matrix";"GS1 implementation specification for use of Data Matrix";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_EXPANDED";"BarCodeTypeCode";"GS1_DATABAR_EXPANDED";"GS1 Databar Expanded";"A bar code with a variable width (from 4 to 22 symbol characters, or a minimum of 102X wide and a maximum of 534X wide) and is 34X high (where X is the width of a module).";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_EXPANDED_COMPOSITE";"BarCodeTypeCode";"GS1_DATABAR_EXPANDED_COMPOSITE";"GS1 Databar Expanded Composite";"A GS1 DataBar Expanded symbol with an additional CC-A or CC-B Composite symbol included at the top of theGS1 DataBar Expanded symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_EXPANDED_STACKED";"BarCodeTypeCode";"GS1_DATABAR_EXPANDED_STACKED";"GS1 Databar Expanded Stacked";"A multi-row stacked version of GS1 DataBar Expanded.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_EXPANDED_STACKED_COMPOSITE";"BarCodeTypeCode";"GS1_DATABAR_EXPANDED_STACKED_COMPOSITE";"GS1 Databar Expanded Stacked Composite";"A GS1 DataBar Expanded Stacked symbol with an additional CC-A or CC-B Composite symbol included at the top of the GS1 DataBar Expanded Stacked symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_LIMITED";"BarCodeTypeCode";"GS1_DATABAR_LIMITED";"GS1 Databar Limited";"A bar code designed for small items that will not need to be read by omnidirectional Point-of-Sale (POS) scanners. Its dimensions are 74X wide, starting with a 1X space and ending with a 1X bar, by 10X high (where X is the width of a module).";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_LIMITED_COMPOSITE";"BarCodeTypeCode";"GS1_DATABAR_LIMITED_COMPOSITE";"GS1 Databar Limited Composite";"A GS1 DataBar Limited Symbol symbol with an additional CC-A or CC-B Composite symbol included at the top of theGS1 DataBar Limited symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_OMNIDIRECTIONAL";"BarCodeTypeCode";"GS1_DATABAR_OMNIDIRECTIONAL";"GS1 Databar Omnidirectional";"A full height, two-row version of the GS1 DataBar Omnidirectional Bar Code that is designed to be read by an omnidirectional scanner, such as a retail slot scanner.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_OMNIDIRECTIONAL_COMPOSITE";"BarCodeTypeCode";"GS1_DATABAR_OMNIDIRECTIONAL_COMPOSITE";"GS1 Databar Omnidirectional Composite";"A GS1 DataBar Omnidirectional symbol with an additional CC-A or CC-B Composite symbol included at the top of the GS1 DataBar Omnidirectional Stacked symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_STACKED";"BarCodeTypeCode";"GS1_DATABAR_STACKED";"GS1 Databar Stacked";"The GS1 DataBar Stacked Bar Code is a reduced height two-row version of the GS1 DataBar Omnidirectional Bar Code that is designed for small items that will not need to be read by omnidirectional scanners.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_STACKED_COMPOSITE";"BarCodeTypeCode";"GS1_DATABAR_STACKED_COMPOSITE";"GS1 Databar Stacked Composite";"A GS1 DataBar Stacked symbol with an additional CC-A or CC-B Composite symbol included at the top of the GS1 DataBar Stacked symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_STACKED_OMNIDIRECTIONAL";"BarCodeTypeCode";"GS1_DATABAR_STACKED_OMNIDIRECTIONAL";"GS1 Databar Stacked Omnidirectional";"A full height, two-row version of the GS1 DataBar Omnidirectional Bar Code that is designed to be read by an omnidirectional scanner, such as a retail slot scanner.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_STACKED_OMNIDIRECTIONAL_COMPOSITE";"BarCodeTypeCode";"GS1_DATABAR_STACKED_OMNIDIRECTIONAL_COMPOSITE";"GS1 Databar Stacked Omnidirectional Composite";"A GS1 DataBar Stacked Omnidirectional symbol with an additional CC-A or CC-B Composite symbol included at the top of the GS1 DataBar Stacked Omnidirectional symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_TRUNCATED";"BarCodeTypeCode";"GS1_DATABAR_TRUNCATED";"GS1 Databar Truncated";"A reduced height version of the GS1 DataBar Omnidirectional Bar Code that is designed for small items that will not need to be read by omnidirectional scanners.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:GS1_DATABAR_TRUNCATED_COMPOSITE";"BarCodeTypeCode";"GS1_DATABAR_TRUNCATED_COMPOSITE";"GS1 Databar Truncated Composite";"A GS1 DataBar Truncated symbol with an additional CC-A or CC-B Composite symbol included at the top of the GS1 DataBar Truncated symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:ITF_14";"BarCodeTypeCode";"ITF_14";"ITF 14";"ITF-14 (A subset of Interleaved 2-of-5) Bar Codes carry GTINs only on trade items that are not expected to pass through the Point-of-Sale.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:NO_BARCODE";"BarCodeTypeCode";"NO_BARCODE";"No Barcode";"Item packaging does not contain bar code.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:UPC_A";"BarCodeTypeCode";"UPC_A";"UPC A";"A bar code of the EAN/UPC Symbology that encodes GTIN-12, Coupon-12, RCN-12, and VMN-12.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:UPC_A_COMPOSITE";"BarCodeTypeCode";"UPC_A_COMPOSITE";"UPC A Composite";"A UPC-A symbol with an additional CC-A or CC-B Composite symbol included at the top of the UPC-A symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:UPC_A_WITH_FIVE_DIGIT_ADD_ON";"BarCodeTypeCode";"UPC_A_WITH_FIVE_DIGIT_ADD_ON";"UPC A With Five Digit Add On";"A UPC-A with an additional five-digit symbol, called an Add-On Symbol that can be included on the item just to the right of the main bar code.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:UPC_A_WITH_TWO_DIGIT_ADD_ON";"BarCodeTypeCode";"UPC_A_WITH_TWO_DIGIT_ADD_ON";"UPC A With Two Digit Add On";"A UPC-A Symbol with with an additional two-digit symbol, called an Add-On Symbol that can be included on the item just to the right of the main bar code.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:UPC_E";"BarCodeTypeCode";"UPC_E";"UPC E ";"A bar code of the EAN/UPC Symbology representing a GTIN-12 in six explicitly encoded digits using zero-suppression techniques.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:UPC_E_COMPOSITE";"BarCodeTypeCode";"UPC_E_COMPOSITE";"UPC E Composite";"A UPC-E symbol with an additional CC-A or CC-B Composite symbol included at the top of the UPC-E symbol";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:UPC_E_FIVE_DIGIT_ADD_ON";"BarCodeTypeCode";"UPC_E_FIVE_DIGIT_ADD_ON";"UPC E Five Digit Add On";"A UPC-E with an additional five-digit symbol, called an Add-On Symbol that can be included on the item just to the right of the main bar code.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BarCodeTypeCode:UPC_E_WITH_TWO_DIGIT_ADD_ON";"BarCodeTypeCode";"UPC_E_WITH_TWO_DIGIT_ADD_ON";"UPC E Two Digit Add On";"A UPC-E Symbol with with an additional two-digit symbol, called an Add-On Symbol that can be included on the item just to the right of the main bar code.";"CODEVALUE";"Shared";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTechnologyTypeCode";"BatteryTechnologyTypeCode";;;"Code list developed and managed by GS1.";"CODELIST";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTechnologyTypeCode:ALKALINE";"BatteryTechnologyTypeCode";"ALKALINE";"Alkaline";"Battery dependent upon the reaction between zinc and manganese dioxide.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTechnologyTypeCode:CARBON_ZINC";"BatteryTechnologyTypeCode";"CARBON_ZINC";"Carbon Zinc";"A battery is packaged in a zinc can that serves as both a container and negative terminal.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTechnologyTypeCode:LITHIUM_ION_POLYMER";"BatteryTechnologyTypeCode";"LITHIUM_ION_POLYMER";"Lithium Ion Polymer";"A type of battery in which lithium ions move from the anode to the cathode during discharge, and from the cathode to the anode when charged.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTechnologyTypeCode:METAL_LITHIUM";"BatteryTechnologyTypeCode";"METAL_LITHIUM";"Metal Lithium";"A lithium battery that used metallic lithium as anode.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTechnologyTypeCode:NICKEL_CADMIUM";"BatteryTechnologyTypeCode";"NICKEL_CADMIUM";"Nickel Cadmium";"A type of rechargeable battery using nickel oxide hydroxide and metallic cadmium as electrodes.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTechnologyTypeCode:NICKEL_METAL_HYDRIDE";"BatteryTechnologyTypeCode";"NICKEL_METAL_HYDRIDE";"Nickel Metal Hydride";"A type of secondary electrochemical cell similar to nickel hydrogen cell.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTechnologyTypeCode:OTHER";"BatteryTechnologyTypeCode";"OTHER";"Other";"A battery technology not on otherwise on this list.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTechnologyTypeCode:SILVER_OXIDE";"BatteryTechnologyTypeCode";"SILVER_OXIDE";"Silver Oxide";"A type of silver–zinc battery.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode";"BatteryTypeCode";;;"Code list developed and managed by GS1.";"CODELIST";"GDSN";;"CHANGED";"CURRENT";2
"urn:gs1:gdd:cl:BatteryTypeCode:15F15";"BatteryTypeCode";"15F15";"15F15";"Zn/MnO2 battery also identified by IEC name 15F15 and other common names: NEDA 221 BLR155";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:15F20";"BatteryTypeCode";"15F20";"15F20";"Zn/MnO2 non-round multiple cell Battery identified by IEC name 15F20 and other common names: 22½-volt, ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:20F20";"BatteryTypeCode";"20F20";"20F20";"Zn/MnO2 non-round multiple cell Battery identified by the common name 30-volt";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:2CR1_3N";"BatteryTypeCode";"2CR1_3N";"2CR1_3N";"Lithium button cells - coin, watch, micro, miniature identified by IEC name 2CR1/3N with no other common name.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:2CR11108";"BatteryTypeCode";"2CR11108";"2CR11108";"6V round Lithium Battery identified by the IEC name 2CR11108 and other common names : PX28LBPK, PX-28LB,28L, L28PX";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:2CR5";"BatteryTypeCode";"2CR5";"2CR5";"Lithium camera Cell/Batteries identified by IEC name 2CR5 and those other common names EL2CR5, DL245, RL2CR5, 6135-99-577-2940";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:2R10";"BatteryTypeCode";"2R10";"2R10";"Carbon‑zinc round multiple cell identified by IEC name 2R10 and those other common names Duplex, Ever Ready No. 8";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:3LR12";"BatteryTypeCode";"3LR12";"3LR12";"Alkaline non-round batteries, identified by IEC name 3LR12 and those other common names : 4.5-volt, Pocketable Battery, 1203, 4.5 V, Type 3336 (Soviet Union/Russian Federation), 6135-99-738-4038 ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:3R12";"BatteryTypeCode";"3R12";"3R12";"Carbon‑zinc non-round batteries, identified by IEC name 3R12 and those other common names 4.5-volt, Pocketable Battery, 1203, 4.5 V, Type 3336 (Soviet Union/Russian Federation), 6135-99-738-4038 ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:4LR44";"BatteryTypeCode";"4LR44";"4LR44";"Alkaline Round multiple cell identified by IEC name 4LR44 and those other common names 4SR44, PX28A, A544, K28A, V34PX";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:6F22";"BatteryTypeCode";"6F22";"6F22";"Carbon‑zinc non-round batteries identified by IEC name 6F22 and those other common names : 4LR449-volt, PP3, Radio battery, Smoke Alarm (UK/US), MN1604, Square battery, Krona (Soviet  Union/Russian Federation), Transistor, 6135-99-634-8080";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:8LR932";"BatteryTypeCode";"8LR932";"8LR932";"Alkaline round multiple cell identified by IEC name 8LR932 and those other common names : A23, V23GA, 23A, 23AE, MN21, L1028, 8LR23, LRV08";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:9_VOLT";"BatteryTypeCode";"9_VOLT";"9_VOLT";"A rectangular prism shape with rounded edges and a polarized snap connector at the top identified by IEC names 6LR61 (alkaline), 6F22 (Carbon-Zinc), 6KR61 (NiCd), 6HR61(NiMh).";"CODEVALUE";"GDSN";;"CHANGED";"CURRENT";2
"urn:gs1:gdd:cl:BatteryTypeCode:A";"BatteryTypeCode";"A";"A";"More common as a NiCd or NiMH cell size than a primary size, popular in older laptop batteries and hobby battery packs";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:AA";"BatteryTypeCode";"AA";"AA";"A standard size of battery. Batteries of this size are the most commonly used type of in portable electronic devices";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:AAA";"BatteryTypeCode";"AAA";"AAA";"A standard size of dry cell battery commonly used in portable electronic devices";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:B";"BatteryTypeCode";"B";"B";"Battery used to provide the plate voltage of a vacuum tube.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:C";"BatteryTypeCode";"C";"C";"A standard size of battery typically used in medium-drain applications such as toys and musical instruments";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR1025";"BatteryTypeCode";"CR1025";"CR1025";"Lithium button cells identifed by IEC name CR1025 and common name 5033LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR1216";"BatteryTypeCode";"CR1216";"CR1216";"Lithium button cells identifed by IEC name CR1216 and common name  5034LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR1220";"BatteryTypeCode";"CR1220";"CR1220";"Lithium button cells identifed by IEC name CR1220 and common name 5012LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR1225";"BatteryTypeCode";"CR1225";"CR1225";"Lithium button cells identifed by IEC name CR1225 and common name 5020LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR123A";"BatteryTypeCode";"CR123A";"CR123A";"Lithium Camera Battery identifed by IEC name CR17345 and the other common names: 2/3A, 123, CR123, 17345, 16340, CR123A, 6135-99-851-1379 (NSN)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR1616";"BatteryTypeCode";"CR1616";"CR1616";"Lithium button cells identified by IEC name CR1616";"CODEVALUE";"GDSN";;"CHANGED";"CURRENT";2
"urn:gs1:gdd:cl:BatteryTypeCode:CR1620";"BatteryTypeCode";"CR1620";"CR1620";"Lithium button cells identifed by IEC name CR1620 and common name 5009LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR1632";"BatteryTypeCode";"CR1632";"CR1632";"Lithium button cells identifed by IEC name CR1632";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR2";"BatteryTypeCode";"CR2";"CR2";"Lithium camera Cell/Batteries identifed by IEC name CR17355 and those other common names : 15270 (Li-Ion Rechargeable), 6135-99-606-3982 (NSN)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR2012";"BatteryTypeCode";"CR2012";"CR2012";"Lithium button cells identifed by IEC name CR2012";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR2016";"BatteryTypeCode";"CR2016";"CR2016";"Lithium button cells identifed by IEC name CR2016 and common name  5000LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR2025";"BatteryTypeCode";"CR2025";"CR2025";"Lithium button cells identifed by IEC name CR2025 and common name  5003LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR2032";"BatteryTypeCode";"CR2032";"CR2032";"Lithium button cells identifed by IEC name CR2032 and common name 5004LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR2330";"BatteryTypeCode";"CR2330";"CR2330";"Lithium button cells identifed by IEC name CR2330";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR2354";"BatteryTypeCode";"CR2354";"CR2354";"Lithium button cells identifed by IEC name CR2354";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR2430";"BatteryTypeCode";"CR2430";"CR2430";"Lithium button cells identifed by IEC name CR2430 and other common name  5011LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR2450";"BatteryTypeCode";"CR2450";"CR2450";"Lithium button cells identifed by IEC name CR2450 and other common name 5029LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR2477";"BatteryTypeCode";"CR2477";"CR2477";"Lithium button cells identifed by IEC name CR2477";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR3032";"BatteryTypeCode";"CR3032";"CR3032";"Lithium button cells identifed by IEC name CR3032";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR6362";"BatteryTypeCode";"CR6362";"CR6362";"Lithium button cells identifed by IEC name CR636-2";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR7362";"BatteryTypeCode";"CR7362";"CR7362";"Lithium button cells identifed by IEC name CR736-2";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CR927";"BatteryTypeCode";"CR927";"CR927";"Lithium button cells identifed by IEC name CR927";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CRP2";"BatteryTypeCode";"CRP2";"CRP2";"Lithium camera Cell/Batteries identifed by IEC name CR-P2 and other common names : CR927, BR-P2, 223A, CR17-33, 5024LC";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:CRV3";"BatteryTypeCode";"CRV3";"CRV3";"Lithium camera Cell/Batteries identifed by IEC name CRV3";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:D";"BatteryTypeCode";"D";"D";"A cylindrical battery with electrical contacts at each end; the positive end having a nub or bump. D cells are typically used in high current drain applications.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:J";"BatteryTypeCode";"J";"J";"Alkaline non-round multiple cell identifed by IEC name 4LR61, ANSI Name J and other common name 7K67 ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:LANTERN_BIG";"BatteryTypeCode";"LANTERN_BIG";"Lantern Big";"Common Non-round batteries identified by IEC name 4R25-2 (carbon‑zinc) or 4LR25-2 (alkaline), other common names : 918, R25-2, Big Lantern, Double Lantern, MN918, Energizer 521";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:LANTERN_SCREW";"BatteryTypeCode";"LANTERN_SCREW";"Lantern Screw";"Non-round multiple cell identified by IEC name 4R25X (carbon‑zinc) or 4LR25X (alkaline), other common names : Lantern Screw, Lantern, 6 volt, Screw Top, 6135-99-645-6443 (NSN)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:LANTERN_SPRING";"BatteryTypeCode";"LANTERN_SPRING";"Lantern Spring";"Common Non-round batteries identified by IEC name 4LR25Y (alkaline) or 4R25 (carbon‑zinc), other common names : Lantern, 6 volt, Spring Top, MN908 (UK), 996 or PJ996, Energizer 529, 6135-99-910-1145 (NSN), 908A ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:LR03";"BatteryTypeCode";"LR03";"LR03";"Common alkaline round cell identified by IEC name LR03 and other common names: AAA, U16 or HP16 (In Britain until the 1980s), Micro, Microlight, MN2400, MX2400, Type 286 (Soviet Union/Russia), UM 4 (JIS), #7 (China), 6135-99-117-3143";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:LR09";"BatteryTypeCode";"LR09";"LR09";"Non common non round 1.5V Alkaline Battery";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:LR1";"BatteryTypeCode";"LR1";"LR1";"Alkaline Round single-cell identified by IEC name LR1 and other common names : N, Lady, MN9100, UM-5 (JIS), E90, 6135-99-661-4958 (NSN)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:BatteryTypeCode:LR14";"BatteryTypeCode";"LR14";"LR14";"Common alkaline round cell identified by the IEC name LR14 and other common names : C, U11 or HP11 (In Britain until the 1980s), MN1400, MX1400, Baby, Type 343 (Soviet Union/Russia), BA-42 (US Military Spec WWII–1980s), UM 2 (JIS), #2 (China), 6135-99-199-4779 (NSN)(carbon-zinc), 6135-99-117-3212 (NSN)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
