"semanticResourceURN";"Code Value";"resourceSubTypeCode";"Code List";"Domain";"ExternalLink";"codeName";"Definition";"changeLog";"Status";"Version";"Change Date";"changeLogComment"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_10";"FOR_INTERNAL_USE_10";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 10";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_11";"FOR_INTERNAL_USE_11";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 11";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_12";"FOR_INTERNAL_USE_12";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 12";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_13";"FOR_INTERNAL_USE_13";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 13";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_14";"FOR_INTERNAL_USE_14";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 14";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_15";"FOR_INTERNAL_USE_15";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 15";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_16";"FOR_INTERNAL_USE_16";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 16";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_17";"FOR_INTERNAL_USE_17";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 17";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_18";"FOR_INTERNAL_USE_18";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 18";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_19";"FOR_INTERNAL_USE_19";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 19";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_2";"FOR_INTERNAL_USE_2";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 2";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_20";"FOR_INTERNAL_USE_20";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 20";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_3";"FOR_INTERNAL_USE_3";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 3";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_4";"FOR_INTERNAL_USE_4";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 4";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_5";"FOR_INTERNAL_USE_5";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 5";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_6";"FOR_INTERNAL_USE_6";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 6";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_7";"FOR_INTERNAL_USE_7";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 7";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_8";"FOR_INTERNAL_USE_8";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 8";"Internal identification used for mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:FOR_INTERNAL_USE_9";"FOR_INTERNAL_USE_9";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"For internal use 9";"Internal identification used for mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:GCN";"GCN";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Global Coupon Number ";"A GS1 identification key that provides a globally unique identification for a coupon, with an optional serial number.";"NEW";"CURRENT";8;01/05/2019;"3.4"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:GCN";"GCN";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Global Coupon Number ";"A GS1 identification key that provides a globally unique identification for a coupon, with an optional serial number.";"NEW";"CURRENT";8;01/05/2019;"3.4"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:GDPA";"GDPA";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"General Directorate of Pharmaceutical Affairs (GDPA)";"General Directorate of Pharmaceutical Affairs (GDPA) manages the market authorisation of healthcare products in Afghanistan - AF";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:GTIN_12";"GTIN_12";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"GTIN 12";"The 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:GTIN_13";"GTIN_13";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"GTIN 13";"The 13-digit GS1 Identification Key composed of a GS1 Company Prefix, Item Reference, and Check Digit used to identify trade items.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:GTIN_14";"GTIN_14";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"GTIN 14";"The 14-digit GS1 Identification Key composed of an Indicator digit (1-9), GS1 Company Prefix, Item Reference, and Check Digit used to identify trade items.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:GTIN_8";"GTIN_8";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"GTIN 8";"The 8-digit GS1 Identification Key composed of a GS1-8 Prefix, Item Reference, and Check Digit used to identify trade items.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:HIBC";"HIBC";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"HIBC";"Health Industry Business Communication Barcode:  An alphanumeric identification number used as a common identifier within the healthcare industry across different locations. In the Netherlands, this code is managed by the European Health Industry Business Communications Council.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:ICCBBA";"ICCBBA";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"ICCBBA";" ICCBBA is an international non-governmental organization (NGO) that manages, develops and licenses ISBT 128; the international information standard for the terminology, coding and labelling of medical products of human origin.  ICCBBA manage the allocation of globally unique identifiers to licensed facilities and maintain the ISBT 128 Standard, international databases for Facility Identification Numbers and Product Coding, supporting documentation, and educational materials.";"NEW";"CURRENT";3;26/05/2015;"WR 13-159"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:INDUSTRY_ASSIGNED";"INDUSTRY_ASSIGNED";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Industry Assigned";"A unique proprietary identification number assigned by an industry sector association or other organisation, used to identify an item or service. Typically the association or organisation provides the industry sector with an identification number as key identifier of a type of trade item.";"CHANGED";"CURRENT";3;26/05/2015;"Changed definition
WR 15-054"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:INVIMA";"INVIMA";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"INVIMA";"National Institute of Surveillance of Medications and Foods for Colombia. This organisation has developed a unique code of medications (CUM).";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:INVIMA";"INVIMA";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Instituto Nacional de Vigilancia de Medicamentos y Alimentos (INVIMA)";"Instituto Nacional de Vigilancia de Medicamentos y Alimentos (INVIMA) manages the market authorisation of healthcare products in Colombia - CO";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:ISBN_NUMBER";"ISBN_NUMBER";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"ISBN number";"International Standard Book Number:  A unique numeric commercial book identifier.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:ISSN_NUMBER";"ISSN_NUMBER";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"ISSN number";"International Standard Serial Number:  unique eight-digit number used to identify a print or electronic periodical publication.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:JFDA";"JFDA";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Jordan Food and Drug Administration";"Jordan Food and Drug Administration manages the market authorisation of healthcare products in Jordan - JO";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:LMHPRA";"LMHPRA";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Liberia Medicines and Health Products Regulatory Authority";"Liberia Medicines and Health Products Regulatory Authority manages the market authorisation of healthcare products in Liberia - LR";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:LOTTERY_GAME_NUMBER";"LOTTERY_GAME_NUMBER";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Lottery Game Number";"Unknown";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:LOTTERY_PACK_BOOK_NUMBER";"LOTTERY_PACK_BOOK_NUMBER";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Lottery pack book number";"A unique identifier for a book of shrink-wrapped lottery game tickets.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MANUFACTURER_PART_NUMBER";"MANUFACTURER_PART_NUMBER";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Manufacturer part number";"The additional Trade Item Identification value populated is an identifier of a part used for an item.  While the name implies that the number is assigned by the manufacturer, the part may be built by one manufacturer to apply to another manufacturer’s item.  In this case this number is the applicable part number from the item’s manufacturer.  The part manufacturer numbers would be found with the type of MODEL_NUMBER, SUPPLIER_ASSIGNED, or DISTRIBUTOR_ASSIGNED.  For example, a 1957 car manufactured by Chevrolet has a part number AB123 which is the driver’s door handle.  A secondary manufacture produces an equivalent or Original Equipment Manufacturer (OEM) part with their number of 57-123CHEV.  This value would be the AB123 to signify that it is that equivalent.";"NEW";"CURRENT";1;12/02/2018;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MARKETING_CODE";"MARKETING_CODE";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Marketing Code";"Additional information specific to a brand or a management centre, generally used for online coupons, coupons such as sticker (large format) and coupon letters. ";"NEW";"CURRENT";8;01/05/2019;"3.4"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MCAZ";"MCAZ";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Medicines Control Authority of Zimbabwe (MCAZ)";"Medicines Control Authority of Zimbabwe (MCAZ) manages the market authorisation of healthcare products in Zimbabwe - ZW";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MCC";"MCC";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Medicines Control Council (MCC)";"Medicines Control Council (MCC) manages the market authorisation of healthcare products in South Africa - ZA";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MDL";"MDL";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"MDL";"The Canadian Medical Device License (MDL) is required for companies which sell Class II, III, and IV medical devices in Canada. The MDL is a product approval and should not be confused with the MDEL which is a permit for the company/distributor itself.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MINSA";"MINSA";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministerio de Salud - Direccion de Farmacias (MINSA)";"Ministerio de Salud - Direccion de Farmacias (MINSA) manages the market authorisation of healthcare products in Nicaragua - NI";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MISAU";"MISAU";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Departamento Farmacêutico-MISAU";"Departamento Farmacêutico-MISAU manages the market authorisation of healthcare products in Mozambique - MZ";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MODEL_NUMBER";"MODEL_NUMBER";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Model Number";"The additional Trade Item Identification value populated is an identification number which defines the configuration of the product in addition to the Item number.  This is typically printed or otherwise attached to an item.  In electronics, this number is typically found around or near a serial number.";"NEW";"CURRENT";1;12/02/2018;"Definition Change"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_AO";"MOH_AO";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Health (MOH) Angola";"Ministry of Health (MOH) manages the market authorisation of healthcare products in Angola - AO";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_BB";"MOH_BB";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Health (MOH)  Barbados ";"Ministry of Health (MOH) manages the market authorisation of healthcare products in Barbados - BB";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_BW";"MOH_BW";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Drugs Regulatory Unit (DRU) of the Ministry of Health (MOH)";"Drugs Regulatory Unit (DRU) of the Ministry of Health (MOH) manages the market authorisation of healthcare products in Botswana - BW";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_GY";"MOH_GY";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Health - Guyana ";"Ministry of Health manages the market authorisation of healthcare products in Guyana - GY";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_MA";"MOH_MA";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Health - Morocco ";"Ministry of Health manages the market authorisation of healthcare products in Morocco - MA";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_MR";"MOH_MR";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Health: Pharmacy and Laboratory";"Ministry of Health: Pharmacy and Laboratory manages the market authorisation of healthcare products in Mauritania - MR";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_RW";"MOH_RW";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Health - Rwanda ";"Ministry of Health manages the market authorisation of healthcare products in Rwanda - RW";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_SZ";"MOH_SZ";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Health (MOH) Swaziland";"Ministry of Health (MOH) manages the market authorisation of healthcare products in Swaziland - SZ";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_TJ";"MOH_TJ";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Health - Tajikistan ";"Ministry of Health manages the market authorisation of healthcare products in Tajikistan - TJ";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_TT";"MOH_TT";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Chemistry Food and Drugs Division/Ministry of Health (CFFD/MOH)";"Chemistry Food and Drugs Division/Ministry of Health (CFFD/MOH) manages the market authorisation of healthcare products in Trinidad and Tobago - TT";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_UG";"MOH_UG";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"National Drug Authority";"National Drug Authority manages the market authorisation of healthcare products in Uganda - UG";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOH_UZ";"MOH_UZ";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Health - Uzbekistan";"Ministry of Health manages the market authorisation of healthcare products in Uzbekistan - UZ";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOHSW";"MOHSW";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Health & Social Welfare";"Ministry of Health & Social Welfare manages the market authorisation of healthcare products in Gambia - GM";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOPH_NE";"MOPH_NE";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministry of Public Health";"Ministry of Public Health manages the market authorisation of healthcare products in Niger - NE";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MOPH_TD";"MOPH_TD";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Minister of Public Health: Direction de la Pharmacie, du Médicament et des Laboratoires";"Minister of Public Health: Direction de la Pharmacie, du Médicament et des Laboratoires manages the market authorisation of healthcare products in Chad - TD";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MRA";"MRA";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Medicines Regulatory Authority (MRA) Palestine";"Medicines Regulatory Authority (MRA) manages the market authorisation of healthcare products in Palestine, State of - PS";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MRA_PG";"MRA_PG";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Medicines Regulatory Authority (MRA) Papua New Guinea";"Medicines Regulatory Authority (MRA) manages the market authorisation of healthcare products in Papua New Guinea - PG";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MRA_SS";"MRA_SS";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Medicines Regulatory Authority (MRA) South Sudan ";"Medicines Regulatory Authority (MRA) manages the market authorisation of healthcare products in South Sudan - SS";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MSD";"MSD";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Unidad de Medicamentos y Tecnología en Salud (MSD)";"Unidad de Medicamentos y Tecnología en Salud (MSD) manages the market authorisation of healthcare products in Bolivia - BO";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MSP";"MSP";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Direccion General de Drogas y Farmacias del Ministerio de Salud Pública (DGDF/MSP)";"Direccion General de Drogas y Farmacias del Ministerio de Salud Pública (DGDF/MSP) manages the market authorisation of healthcare products in Dominican Republic - DO";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MSPAS_CG";"MSPAS_CG";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministère de la Santé Publique et des Affairs Sociales: Direction des Pharmacies, du Médicament et des Laboratoires ";"Ministère de la Santé Publique et des Affairs Sociales: Direction des Pharmacies, du Médicament et des Laboratoires  manages the market authorisation of healthcare products in Congo, Republic of - CG";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MSPAS_GT";"MSPAS_GT";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Minsiterio de Salud Publica y Asistencia Social/Departamento de Regulación y Control de Productos Farmacéuticos y Afines (MSPAS)";"Minsiterio de Salud Publica y Asistencia Social/Departamento de Regulación y Control de Productos Farmacéuticos y Afines (MSPAS) manages the market authorisation of healthcare products in Guatemala - GT";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:MSPBS";"MSPBS";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"Ministerio de Salud Pública y Bienestar Social (MSPBS)";"Ministerio de Salud Pública y Bienestar Social (MSPBS) manages the market authorisation of healthcare products in Paraguay - PY";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:NABCA_PRODUCT_CODE";"NABCA_PRODUCT_CODE";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"NABCA product code";"A product code issued by the National Alcohol Beverage Control Association in the United States.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:NADFC";"NADFC";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"National Agency of Drug and Food Control (NADFC)";"National Agency of Drug and Food Control (NADFC) manages the market authorisation of healthcare products in Indonesia - ID";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:NAFDAC_NG";"NAFDAC_NG";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"National Agency for Food and Drug Administration and Control (NAFDAC)";"National Agency for Food and Drug Administration and Control (NAFDAC) manages the market authorisation of healthcare products in Nigeria - NG";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:NAN";"NAN";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"NAN";"Nordic Article Number is a 6 digit identification number needed on all human and veterinary pharmaceuticals licensed in Sweden. The number is unique for a certain packages. A NAN can be valid in one to five Nordic countries (Sweden, Denmark, Norway, Finland and Iceland) depending on if the package fulfils some basic criteria.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:NAPPI";"NAPPI";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"National Pharmaceutical Product Index";"National Pharmaceutical Product Index-  The National Pharmaceutical Product Index or NAPPI is a comprehensive database of medical products used in South Africa. Each product has a unique NAPPI code which enables electronic data interchange throughout the health care delivery chain in South Africa. 
http://www.pbb.co.za/Nappi-Codes.aspx";"NEW";"CURRENT";6;;"3.1.8"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:NCM";"NCM";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"National Center for Medicines, Medical Devices and Medical Equipment Expertise";"National Center for medicines, medical devices and medical equipment expertise manages the market authorisation of healthcare products in Kazakhstan - KZ";"NEW";"CURRENT";5;01/05/2018;"3.1.5"
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:NDC";"NDC";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"NDC (DEPRECATE)";"National Drug Code: A unique product identifier used in the United States for drugs intended for human use.";"REMOVED";"DELETED";2;12/06/2013;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:NIIN";"NIIN";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"NATO Item Identification Number";"The NATO Item Identification Number (NIIN) (Last Nine (9) Digits of an NSN) is the fixed part of the NSN, and it remains associated with the IoS concept throughout its life cycle. However, the NSC (First Four (4) Digits) may change if there is a revision of the IoS Classification structure.";"NEW";"CURRENT";6;;
"urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:NIIN";"NIIN";"CODEVALUE";"AdditionalTradeItemIdentificationTypeCode";"Shared";;"NATO Item Identification Number";"The NATO Item Identification Number (NIIN) (Last Nine (9) Digits of an NSN) is the fixed part of the NSN, and it remains associated with the IoS concept throughout its life cycle. However, the NSC (First Four (4) Digits) may change if there is a revision of the IoS Classification structure.";"NEW";"CURRENT";7;;"3.1.8"
